New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Interacting Proteins	Pathogen Taxon	Disease	Host Taxon	Host Target Protein	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	Inducer CAS IDs	Inducer ChEBI IDs	Anti-Infectives	Anti-Infective CAS IDs	Anti-Infective ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I2993	PHI:2707	C9Z5Q1	EccC	SCAB_58621	Ftsk/SpoIIIE family protein	FN554889		680198:Streptomyces scabiei 87.22		4113:Solanum tuberosum (potato) 		Dicot		GO:0005524:integral component of membrane [GO:0016021]; GO:0003677: ATP binding [GO:0005524]; GO:0007049: DNA binding [GO:0003677]; GO:0051301: cell cycle [GO:0007049]; GO:0007059: cell division [GO:0051301]; GO:0016021: chromosome segregation [GO:0007059]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Increased;Vegetative Spores:Increased																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I2994	PHI:2708	C9Z5Q3	EccD	SCAB_58651	Putative integral membrane protein	FN554889		680198:Streptomyces scabiei 87.22		4113:Solanum tuberosum (potato) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I2995	PHI:2705	C9Z5Q5	EsxA	SCAB_58671	Uncharacterized protein	FN554889		680198:Streptomyces scabiei 87.22		4097:Nicotiana tabacum (common tobacco) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Reduced;Vegetative Spores:Reduced																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I2996	PHI:2706	C9Z5Q6	EsxB	SCAB_58681	Uncharacterized protein	FN554889		680198:Streptomyces scabiei 87.22		4097:Nicotiana tabacum (common tobacco) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Reduced;Vegetative Spores:Reduced																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I2997	PHI:2707	C9Z5Q1	EccC	SCAB_58621	Ftsk/SpoIIIE family protein	FN554889		680198:Streptomyces scabiei 87.22		4097:Nicotiana tabacum (common tobacco) 		Dicot		GO:0005524:integral component of membrane [GO:0016021]; GO:0003677: ATP binding [GO:0005524]; GO:0007049: DNA binding [GO:0003677]; GO:0051301: cell cycle [GO:0007049]; GO:0007059: cell division [GO:0051301]; GO:0016021: chromosome segregation [GO:0007059]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Increased;Vegetative Spores:Increased																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I2998	PHI:2708	C9Z5Q3	EccD	SCAB_58651	Putative integral membrane protein	FN554889		680198:Streptomyces scabiei 87.22		4097:Nicotiana tabacum (common tobacco) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I2999	PHI:2705	C9Z5Q5	EsxA	SCAB_58671	Uncharacterized protein	FN554889		680198:Streptomyces scabiei 87.22		3726:Raphanus sativus (radish) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Reduced;Vegetative Spores:Reduced																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I3000	PHI:2706	C9Z5Q6	EsxB	SCAB_58681	Uncharacterized protein	FN554889		680198:Streptomyces scabiei 87.22		3726:Raphanus sativus (radish) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Reduced;Vegetative Spores:Reduced																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I3001	PHI:2707	C9Z5Q1	EccC	SCAB_58621	Ftsk/SpoIIIE family protein	FN554889		680198:Streptomyces scabiei 87.22		3726:Raphanus sativus (radish) 		Dicot		GO:0005524:integral component of membrane [GO:0016021]; GO:0003677: ATP binding [GO:0005524]; GO:0007049: DNA binding [GO:0003677]; GO:0051301: cell cycle [GO:0007049]; GO:0007059: cell division [GO:0051301]; GO:0016021: chromosome segregation [GO:0007059]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Increased;Vegetative Spores:Increased																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I3002	PHI:2708	C9Z5Q3	EccD	SCAB_58651	Putative integral membrane protein	FN554889		680198:Streptomyces scabiei 87.22		3726:Raphanus sativus (radish) 		Dicot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23009676: Fyans JK, Bignell D, Loria R, Toth I, Palmer T. (2013). "The ESX/type VII secretion system modulates development, but not virulence, of the plant pathogen Streptomyces scabies." Mol Plant Pathol 14(2): 119-130. 10.1111/j.1364-3703.2012.00835.x.	2015-09-01
PHI:I3003	PHI:2710	H8ZZ79	mepB	MEPB	Ammonium transporter	JN660156		1237896:Colletotrichum gloeosporioides Cg-14		3435:Persea americana (avocado) 		n\a		GO:0008519:integral component of membrane [GO:0016021]; GO:0016021: ammonium transmembrane transporter activity [GO:0008519]		POO:0000002:reduced virulence	Pre-penetration:Yes;Spore Germination:Wild Type;In Vitro Growth:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23387470: Shnaiderman C, Miyara I, Kobiler I, Sherman A, Prusky D. (2013). "Differential activation of ammonium transporters during the accumulation of ammonia by Colletotrichum gloeosporioides and its effect on appressoria formation and pathogenicity." Mol Plant Microbe Interact 26(3): 345-355. 10.1094/mpmi-07-12-0170-r.	2015-09-01
PHI:I3004	PHI:2711	G2X3W4	NLP1	VDAG_04701	Necrosis-and ethylene-inducing protein and ethylene inducing peptide	DS572702		1202531:Verticillium dahliae JR2		4081:Solanum lycopersicum (tomato) 		Dicot				POO:0000002:reduced virulence	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Vegetative Spores:Reduced;In Vitro Growth:Aberrant																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23051172: Santhanam P, van Esse HP, Albert I, Faino L, Nürnberger T, Thomma BP. (2013). "Evidence for functional diversification within a fungal NEP1-like protein family." Mol Plant Microbe Interact 26(3): 278-286. 10.1094/mpmi-09-12-0222-r.	2015-09-01
PHI:I3005	PHI:2712	G2WWK9	NLP2	VDAG_01995	25 kDa protein elicitor	DS572697		1202531:Verticillium dahliae JR2		4081:Solanum lycopersicum (tomato) 		Dicot				POO:0000002:reduced virulence	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23051172: Santhanam P, van Esse HP, Albert I, Faino L, Nürnberger T, Thomma BP. (2013). "Evidence for functional diversification within a fungal NEP1-like protein family." Mol Plant Microbe Interact 26(3): 278-286. 10.1094/mpmi-09-12-0222-r.	2015-09-01
PHI:I3006	PHI:2711	G2X3W4	NLP1	VDAG_04701	Necrosis-and ethylene-inducing protein and ethylene inducing peptide	DS572702		1202531:Verticillium dahliae JR2		3702:Arabidopsis thaliana (thale cress) 		Dicot				POO:0000002:reduced virulence	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Vegetative Spores:Reduced;In Vitro Growth:Aberrant																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23051172: Santhanam P, van Esse HP, Albert I, Faino L, Nürnberger T, Thomma BP. (2013). "Evidence for functional diversification within a fungal NEP1-like protein family." Mol Plant Microbe Interact 26(3): 278-286. 10.1094/mpmi-09-12-0222-r.	2015-09-01
PHI:I3007	PHI:2712	G2WWK9	NLP2	VDAG_01995	25 kDa protein elicitor	DS572697		1202531:Verticillium dahliae JR2		3702:Arabidopsis thaliana (thale cress) 		Dicot				POO:0000002:reduced virulence	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23051172: Santhanam P, van Esse HP, Albert I, Faino L, Nürnberger T, Thomma BP. (2013). "Evidence for functional diversification within a fungal NEP1-like protein family." Mol Plant Microbe Interact 26(3): 278-286. 10.1094/mpmi-09-12-0222-r.	2015-09-01
PHI:I3008	PHI:2711	G2X3W4	NLP1	VDAG_04701	Necrosis-and ethylene-inducing protein and ethylene inducing peptide	DS572702		1202531:Verticillium dahliae JR2		4100:Nicotiana benthamiana		Dicot				POO:0000002:reduced virulence	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Vegetative Spores:Reduced;In Vitro Growth:Aberrant																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23051172: Santhanam P, van Esse HP, Albert I, Faino L, Nürnberger T, Thomma BP. (2013). "Evidence for functional diversification within a fungal NEP1-like protein family." Mol Plant Microbe Interact 26(3): 278-286. 10.1094/mpmi-09-12-0222-r.	2015-09-01
PHI:I3009	PHI:2712	G2WWK9	NLP2	VDAG_01995	25 kDa protein elicitor	DS572697		1202531:Verticillium dahliae JR2		4100:Nicotiana benthamiana		Dicot				POO:0000002:reduced virulence	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			23051172: Santhanam P, van Esse HP, Albert I, Faino L, Nürnberger T, Thomma BP. (2013). "Evidence for functional diversification within a fungal NEP1-like protein family." Mol Plant Microbe Interact 26(3): 278-286. 10.1094/mpmi-09-12-0222-r.	2015-09-01
PHI:I3010	PHI:2713	E1AYJ2	TALE1	pthBXam	TAL effector protein	HQ113297		1189617:Xanthomonas axonopodis pv. manihotis str. CFBP1851		3983:Manihot esculenta (cassava) 		Dicot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000007:gene complementation;ESO:0000016:characterised gene mutation	Rashmi Pant,Molecular Connections			22947214: Castiblanco LF, Gil J, Rojas A, Osorio D, Gutiérrez S, Muñoz-Bodnar A, Perez-Quintero AL, Koebnik R, Szurek B, López C, Restrepo S, Verdier V, Bernal AJ. (2013). "TALE1 from Xanthomonas axonopodis pv. manihotis acts as a transcriptional activator in plant cells and is important for pathogenicity in cassava plants." Mol Plant Pathol 14(1): 84-95. 10.1111/j.1364-3703.2012.00830.x.	2015-09-01
PHI:I3011	PHI:2714	I1RC71	PEX5	FGSG_01174	Peroxisomal targeting signal receptor	DS231663		5518:Fusarium graminearum		4565:Triticum aestivum (bread wheat) 		Monocot		GO:0005829:cytosol [GO:0005829]; GO:1990429: peroxisomal importomer complex [GO:1990429]; GO:0005778: peroxisomal membrane [GO:0005778]; GO:0005052: peroxisome matrix targeting signal-1 binding [GO:0005052]; GO:0016560: protein import into peroxisome matrix, docking [GO:0016560]		POO:0000002:reduced virulence	Mating Defect:Yes;In Vitro Growth:Reduced;Sexual Spores:Reduced																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			22913493: Min K, Son H, Lee J, Choi GJ, Kim JC, Lee YW. (2012). "Peroxisome function is required for virulence and survival of Fusarium graminearum." Mol Plant Microbe Interact 25(12): 1617-1627. 10.1094/mpmi-06-12-0149-r.	2015-09-01
PHI:I3012	PHI:2715	I1RNL3	PEX6	FGSG_05596	Peroxisomal biogenesis factor 6	DS231665		5518:Fusarium graminearum		4565:Triticum aestivum (bread wheat) 		Monocot		GO:0005524:cytosol [GO:0005829]; GO:0016887: peroxisome [GO:0005777]; GO:0005829: ATP binding [GO:0005524]; GO:0005777: ATPase activity [GO:0016887]; GO:0016562: protein import into peroxisome matrix, receptor recycling [GO:0016562]; GO:0001302: replicative cell aging [GO:0001302]		POO:0000002:reduced virulence	Mating Defect:Yes;In Vitro Growth:Reduced;Sexual Spores:Reduced																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			22913493: Min K, Son H, Lee J, Choi GJ, Kim JC, Lee YW. (2012). "Peroxisome function is required for virulence and survival of Fusarium graminearum." Mol Plant Microbe Interact 25(12): 1617-1627. 10.1094/mpmi-06-12-0149-r.	2015-09-01
PHI:I3013	PHI:2716	V6R9T0	PEX7	FGSG_05109	Uncharacterized protein	DS231665		5518:Fusarium graminearum		4565:Triticum aestivum (bread wheat) 		Monocot		GO:0005829:cytosol [GO:0005829]; GO:0005634: nucleus [GO:0005634]; GO:0005777: peroxisome [GO:0005777]; GO:0005053: peroxisome matrix targeting signal-2 binding [GO:0005053]; GO:0016560: protein import into peroxisome matrix, docking [GO:0016560]		POO:0000003:unaffected pathogenicity	Mating Defect:No;In Vitro Growth:Wild Type;Sexual Spores:Wild Type																ESO:0000002:gene deletion;ESO:0000007:gene complementation	Rashmi Pant,Molecular Connections			22913493: Min K, Son H, Lee J, Choi GJ, Kim JC, Lee YW. (2012). "Peroxisome function is required for virulence and survival of Fusarium graminearum." Mol Plant Microbe Interact 25(12): 1617-1627. 10.1094/mpmi-06-12-0149-r.	2015-09-01
PHI:I3014	PHI:2717	Q9FDG1	avrXa7	avrXa7	AvrXa7 (Fragment)	AF275317		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3015	PHI:2718	B2SU53	pthXo1	pthXo1;tal2b;PXO_00227	TAL effector protein PthXo1 (Avirulence protein PthXo1) (TAL effector protein Tal2b)	CP000967;AY495676		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot		GO:0003677:extracellular region [GO:0005576]; GO:0005576: host cell nucleus [GO:0042025]; GO:0042025: DNA binding [GO:0003677]; GO:0034053: modulation by symbiont of host defense-related programmed cell death [GO:0034053]; GO:0009405: pathogenesis [GO:0009405]; GO:0006355: regulation of transcription, DNA-templated [GO:0006355]; GO:0006351: transcription, DNA-templated [GO:0006351]		POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3016	PHI:2719	G1FM79	talC	talC	TalC	JN234375		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3017	PHI:2720	G7T9N6	tal1c	tal1c;XOC_0460	TAL effector protein Tal1c (AvrBs3 and PthA family of transcription activator-like effector proteins)	CP003057		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3018	PHI:2721	G7TK09	tal2a	tal2a;XOC_1583	TAL effector protein Tal2a (AvrBs3 and PthA family of transcription activator-like effector proteins)	CP003057		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot		GO:0003824:catalytic activity [GO:0003824]		POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3019	PHI:2722	G7TJZ8	tal2g	tal2g;XOC_1565	TAL effector protein Tal2g (AvrBs3 and PthA family of transcription activator-like effector proteins)	CP003057		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3020	PHI:2717	Q9FDG1	avrXa7	avrXa7	AvrXa7 (Fragment)	AF275317		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3021	PHI:2718	B2SU53	pthXo1	pthXo1;tal2b;PXO_00227	TAL effector protein PthXo1 (Avirulence protein PthXo1) (TAL effector protein Tal2b)	CP000967;AY495676		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot		GO:0003677:extracellular region [GO:0005576]; GO:0005576: host cell nucleus [GO:0042025]; GO:0042025: DNA binding [GO:0003677]; GO:0034053: modulation by symbiont of host defense-related programmed cell death [GO:0034053]; GO:0009405: pathogenesis [GO:0009405]; GO:0006355: regulation of transcription, DNA-templated [GO:0006355]; GO:0006351: transcription, DNA-templated [GO:0006351]		POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3022	PHI:2719	G1FM79	talC	talC	TalC	JN234375		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3023	PHI:2720	G7T9N6	tal1c	tal1c;XOC_0460	TAL effector protein Tal1c (AvrBs3 and PthA family of transcription activator-like effector proteins)	CP003057		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3024	PHI:2721	G7TK09	tal2a	tal2a;XOC_1583	TAL effector protein Tal2a (AvrBs3 and PthA family of transcription activator-like effector proteins)	CP003057		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot		GO:0003824:catalytic activity [GO:0003824]		POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3025	PHI:2722	G7TJZ8	tal2g	tal2g;XOC_1565	TAL effector protein Tal2g (AvrBs3 and PthA family of transcription activator-like effector proteins)	CP003057		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3026	PHI:2717	Q9FDG1	avrXa7	avrXa7	AvrXa7 (Fragment)	AF275317		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot				POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
PHI:I3027	PHI:2718	B2SU53	pthXo1	pthXo1;tal2b;PXO_00227	TAL effector protein PthXo1 (Avirulence protein PthXo1) (TAL effector protein Tal2b)	CP000967;AY495676		64187:Xanthomonas oryzae pv. oryzae		4530:Oryza sativa (rice) 		Monocot		GO:0003677:extracellular region [GO:0005576]; GO:0005576: host cell nucleus [GO:0042025]; GO:0042025: DNA binding [GO:0003677]; GO:0034053: modulation by symbiont of host defense-related programmed cell death [GO:0034053]; GO:0009405: pathogenesis [GO:0009405]; GO:0006355: regulation of transcription, DNA-templated [GO:0006355]; GO:0006351: transcription, DNA-templated [GO:0006351]		POO:0000005:effector (plant avirulence determinant)																	ESO:0000015:transient expression in host organism	Rashmi Pant,Molecular Connections			23078195: Verdier V, Triplett LR, Hummel AW, Corral R, Cernadas RA, Schmidt CL, Bogdanove AJ, Leach JE. (2012). "Transcription activator-like (TAL) effectors targeting OsSWEET genes enhance virulence on diverse rice (Oryza sativa) varieties when expressed individually in a TAL effector-deficient strain of Xanthomonas oryzae." New Phytol 196(4): 1197-1207. 10.1111/j.1469-8137.2012.04367.x.	2015-09-01
