PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	Host_response	Experimental_evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:2191	Uniprot	G4MZG5	EHA53720.1	70-15	MoCYP51B 	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Sterol 14 a-demethylase	no data found	no data found	no data found	Unaffected pathogenicity	no	no	no data found	no data found	wild type	wild type	wild type	no data found	Triadimefon; Prochloraz; Tebuconazole; Propiconazole; Diniconazole; Difenoconazole; Flutriafol; Carbendazim; Iprodione	Triadimefon: 43121-43-3 ; Prochloraz: 67747-09-5; Tebuconazole: 107534-96-3; Propiconazole:60207-90-1; Diniconazole: 83657-24-3; Difenoconazole: 119446-68-3; Flutriafol: 76674-21-0; Carbendazim: 10605-21-7; Iprodione: 36734-19-7	no data found	no data found	Gene deletion: full	na	RP	20887796	Pubmed	10.1016/j.fgb.2010.09.005	deletion of MoCYP51A, but not MoCYP51B, signiﬁcantly increased sensitivity to DMI fungicides in M. oryzae.
PHI:2192	Uniprot	Q2LD94	ABC60049	70-15	MoRgs1	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Maintenance of cell wall integrity; Regulation of surface hydrophobicity; Regulation of intracellular cAMP levels	no data found	no data found	no data found	Reduced virulence	yes	no	no data found	yes	reduced	reduced	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	No penetration defect in onion epidermal cells
PHI:2193	Uniprot	G4NAT9	XP_361183	70-15	MoRgs2	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no	no data found	no	enhanced	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	No penetration defect in onion epidermal cells
PHI:2194	Uniprot	G4N6G5	XP_360603	70-15	MoRgs3	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels	no data found	no data found	no data found	Reduced virulence	no data found	no	no data found	yes	enhanced	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	Penetration defect seen in in onion epidermal cells
PHI:2195	Uniprot	G4ND33	XP_368254	70-15	MoRgs4	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of surface hydrophobicity; Regulation of extracellular laccase and peroxidase activities; Regulation of intracellular cAMP levels	no data found	no data found	no data found	Reduced virulence	yes	no	no data found	yes	reduced	reduced	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	No penetration defect in onion epidermal cells
PHI:2196	Uniprot	G4NFS7	XP_363151	70-15	MoRgs5	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no	no data found	no	wild type	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	No penetration defect in onion epidermal cells
PHI:2197	Uniprot	G5EHY2	XP_364773	70-15	MoRgs6	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no	no data found	no	wild type	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	No penetration defect in onion epidermal cells
PHI:2198	Uniprot	G4NF12	XP_001411659	70-15	MoRgs7	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels	no data found	no data found	no data found	Reduced virulence	no data found	no	no data found	yes	wild type	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	Penetration defect seen in in onion epidermal cells
PHI:2199	Uniprot	G4N2V0	XP_001405673	70-15	MoRgs8	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no	no data found	no	wild type	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	No penetration defect in onion epidermal cells
PHI:2192	Uniprot	Q2LD94	ABC60049	70-15	MoRgs1	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	112509	Barley	Maintenance of cell wall integrity; Regulation of surface hydrophobicity; Regulation of intracellular cAMP levels	no data found	no data found	no data found	Reduced virulence	yes	no data found	no data found	no data found	reduced	reduced	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	no comments
PHI:2195	Uniprot	G4ND33	XP_368254	70-15	MoRgs4	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	112509	Barley	Regulation of surface hydrophobicity; Regulation of extracellular laccase and peroxidase activities; Regulation of intracellular cAMP levels	no data found	no data found	no data found	Reduced virulence	yes	no data found	no data found	no data found	reduced	reduced	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	no comments
PHI:2192	Uniprot	Q2LD94	ABC60049	70-15	MoRgs1	no data found	PHI:2195	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	112509	Barley	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	no data found	no data found	reduced	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	no comments
PHI:2195	Uniprot	G4ND33	XP_368254	70-15	MoRgs4	no data found	PHI:2192	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	112509	Barley	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	no data found	no data found	reduced	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	22241981	Pubmed	10.1 371/journal.ppat. 1002450	no comments
PHI:2200	Uniprot	G4MV04	EHA55738.1	70-15	MoSLN1	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Contributes to osmo-adaptation; Maintenance of cell wall integrity; Oxidative signaling; Regulation of extracellular laccase and peroxidase activities	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	20848286	Pubmed	10.1007/s00294-010-0319-x	no comments
PHI:2200	Uniprot	G4MV04	EHA55738.1	70-15	MoSLN1	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	112509	Barley	Contributes to osmo-adaptation; Maintenance of cell wall integrity; Oxidative signaling; Regulation of extracellular laccase and peroxidase activities	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	yes	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	20848286	Pubmed	10.1007/s00294-010-0319-x	no comments
PHI:2201	Uniprot	D0ERY8	GQ869476	70-15	PdeL	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Regulation of intracellular cAMP levels; Regulation of extracellular laccase and peroxidase activities	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no	no data found	no	reduced; aberrant	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	21386978	Pubmed	10.1371/jo urnal.pone. 0017241	no comments
PHI:2202	Uniprot	D0ERY7	GQ869475	70-15	PdeH	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Maintenance of cell wall integrity; Regulation of surface hydrophobicity; Regulation of intracellular cAMP levels; Regulation of extracellular laccase and peroxidase activities	no data found	no data found	no data found	Reduced virulence	no data found	no	no data found	yes	reduced; aberrant	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	21386978	Pubmed	10.1371/jo urnal.pone. 0017241	no comments
PHI:2201	Uniprot	D0ERY8	GQ869476	70-15	PdeL	no data found	PHI:2202	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Maintenance of cell wall integrity; Regulation of surface hydrophobicity; Regulation of intracellular cAMP levels; Regulation of extracellular laccase and peroxidase activities	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	21386978	Pubmed	10.1371/jo urnal.pone. 0017241	no comments
PHI:2202	Uniprot	D0ERY7	GQ869475	70-15	PdeH	no data found	PHI:2201	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Maintenance of cell wall integrity; Regulation of surface hydrophobicity; Regulation of intracellular cAMP levels; Regulation of extracellular laccase and peroxidase activities	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	21386978	Pubmed	10.1371/jo urnal.pone. 0017241	no comments
PHI:2203	Uniprot	G4MU26	EHA55626.1	70-15	Transcription factor	no data found	no	318829	Magnaporthe oryzae	Guy11	Rice blast	Monocot	4530	Rice	Melanin biosynthesis; Regulation of transcription	GO:0042438; GO:0006355	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	21386978	Pubmed	10.1371/jo urnal.pone. 0017241	no comments
PHI:2204	Uniprot	G4MTF8	MGG_01542.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2205	Uniprot	G4MTF9	MGG_01543.6	70-15	JmjC domain-containing protein 5 [GH10 family]	no data found	PHI:2204; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2206	Uniprot	G4NBN8	MGG_14243.6	70-15	endo-1,4-beta-xylanase precursor [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2207	Uniprot	G4MPQ7	MGG_02245.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2208	Uniprot	G4MLU0	MGG_05464.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2209	Uniprot	G4N1Y8	MGG_07868.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2210	Uniprot	G4MVY2	MGG_08401.6	70-15	endo-1,4-beta-xylanase B [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2211	Uniprot	G4MWS3	MGG_08331.6	70-15	endo-1,4-beta-xylanase B [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2212			MGG_06593.6	70-15	endo-1,4-beta-xylanase 2 [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2213	Uniprot	P0CT49	MGG_07955.6	70-15	endo-1,4-beta-xylanase I [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2214	Uniprot	G4NA54	MGG_08424.6	70-15	endo-1,4-beta-xylanase I [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	112509	Barley	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2204	Uniprot	G4MTF8	MGG_01542.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2205	Uniprot	G4MTF9	MGG_01543.6	70-15	JmjC domain-containing protein 5 [GH10 family]	no data found	PHI:2204; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2206	Uniprot	G4NBN8	MGG_14243.6	70-15	endo-1,4-beta-xylanase precursor [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2207	Uniprot	G4MPQ7	MGG_02245.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2208	Uniprot	G4MLU0	MGG_05464.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2209	Uniprot	G4N1Y8	MGG_07868.6	70-15	endo-1,4-beta-xylanase [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2210; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2210	Uniprot	G4MVY2	MGG_08401.6	70-15	endo-1,4-beta-xylanase B [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2211; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2211	Uniprot	G4MWS3	MGG_08331.6	70-15	endo-1,4-beta-xylanase B [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2212; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2212			MGG_06593.6	70-15	endo-1,4-beta-xylanase 2 [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2213; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2213	Uniprot	P0CT49	MGG_07955.6	70-15	endo-1,4-beta-xylanase I [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2214	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2214	Uniprot	G4NA54	MGG_08424.6	70-15	endo-1,4-beta-xylanase I [GH10 family]	no data found	PHI:2204; PHI:2205; PHI:2206; PHI:2207; PHI:2208; PHI:2209; PHI:2210; PHI:2211; PHI:2212; PHI:2213	318829	Magnaporthe oryzae	Br48	Rice blast	Monocot	4564	Wheat	Endo-beta-1,4 xylanase	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	altered gene expression/gene regulation: silencing	na	RP	21696466	Pubmed	10.1111/j.1365-2958.2011.07746.x	no comments
PHI:2215	Uniprot	G4N983	EHA50327.1	70-15	BIM1	no data found	no	318829	Magnaporthe oryzae	no data found	Rice blast	Monocot	4530	Rice	Regulation of cell cycle	no data found	no data found	no data found	Reduced virulence	no data found	yes	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation: characterised	na	RP	20190078	Pubmed	10.1105/tpc.1 09.072447	Disease symptoms caused by bim1 F1763* mutants were signiﬁcantly reduced at the semirestrictive temperature of 29 deg C
PHI:2216	Uniprot	A0N0D1	EF062504	no data found	PemG1	no data found	no	318829	Magnaporthe oryzae	no data found	Rice blast	Monocot	4530	Rice	Protein elicitor	no data found	no data found	Ca2+ dependent signaling pathway/salicylic acid signaling pathway	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	PemG1 induces transient expression of Pathogen Related genes in rice and increases resistance to other bacterial infections	Functional test in host	na	RP	21770770	Pubmed	10.1094 / MPMI -01-11-0003	no comments
PHI:2217	Uniprot	Q4PD26	XP_758134	521	pep1	chromosome 3	no	5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	Regulates plant defense responses	no data found	no data found	no data found	Loss of pathogenicity	no	no	yes	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	accumulation of H2O2; induction of defense related genes; transcriptional inhibition of genes associated with jasmonate biosynthesis	Gene deletion: full; Gene complementation	na	AR	19197359	Pubmed	10.1 371/journal.ppat. 1000290	Complementation with a truncated allele of pep1, pep1 Del141–178 was able to restore pathogenicity. cysteine residues at positions 59,75,94 and 112 contribute to pathogenicity
PHI:2217	Uniprot	Q4PD26	XP_758134	521	pep1	chromosome 3	no	5270	Ustilago maydis	FB1	Corn smut	Monocot	4577	Maize	Regulates plant defense responses	no data found	no data found	no data found	Loss of pathogenicity	no	no	yes	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	19197359	Pubmed	10.1 371/journal.ppat. 1000290	no comments
PHI:2217	Uniprot	Q4PD26	XP_758134	521	pep1	chromosome 3	no	5270	Ustilago maydis	FB2	Corn smut	Monocot	4577	Maize	Regulates plant defense responses	no data found	no data found	no data found	Loss of pathogenicity	no	no	yes	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	AR	19197359	Pubmed	10.1 371/journal.ppat. 1000290	no comments
PHI:2217	Uniprot	Q4PD26	XP_758134	521	pep1	chromosome 3	no	5270	Ustilago maydis	SG200	Corn smut	Monocot	4577	Maize	Regulates plant defense responses	no data found	no data found	no data found	Loss of pathogenicity	no	no	yes	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	accumulation of H2O2; induction of defense related genes; transcriptional inhibition of genes associated with jasmonate biosynthesis	Gene deletion: full; Gene complementation	na	AR	19197359	Pubmed	10.1 371/journal.ppat. 1000290	Deleted um-pep1 was complemented with pep1 from U. hordei
PHI:2218	Uniprot	Q4PFH2	XP_757288	521	drf1	no data found	no	5270	Ustilago maydis	no data found	Corn smut	Monocot	4577	Maize	no data found	no data found	no data found	no data found	Reduced virulence	no	no data found	no data found	no data found	no data found	no data found	defective	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	21625538	Pubmed	10.1 371/journal.ppat. 1002044	no comments
PHI:2218	Uniprot	Q4PFH2	XP_757288	521	drf1	no data found	no	5270	Ustilago maydis	SG200AM1	Corn smut	Monocot	4577	Maize	no data found	no data found	no data found	no data found	Reduced virulence	no	yes	yes	no	no data found	no data found	defective	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	AR	21625538	Pubmed	10.1 371/journal.ppat. 1002044	no comments
