PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:2044			Genbank	XP_362263	70-15	MoSOM1	Supercontig 16 of chromosome IV					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	Golden Promise			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2045	Uniprot	G4MU85	Genbank	XP_001413674	70-15	MoCDTF1	Supercontig 27 of chromosome I					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	Golden Promise			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2044			Genbank	XP_362263	70-15	MoSOM1	Supercontig 16 of chromosome IV					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2045	Uniprot	G4MU85	Genbank	XP_001413674	70-15	MoCDTF1	Supercontig 27 of chromosome I					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2044			Genbank	XP_362263	70-15	MoSOM1	Supercontig 16 of chromosome IV					PHI:2045	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2045	Uniprot	G4MU85	Genbank	XP_001413674	70-15	MoCDTF1	Supercontig 27 of chromosome I					PHI:2044	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2044			Genbank	XP_362263	70-15	MoSOM1	Supercontig 16 of chromosome IV					PHI:2045	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Barley	Golden Promise			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2045	Uniprot	G4MU85	Genbank	XP_001413674	70-15	MoCDTF1	Supercontig 27 of chromosome I					PHI:2044	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Barley	Golden Promise			leaves	Transcriptional Regulators	no data found	no data found	cAMP/PKA pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced	reduced	reduced; aberrant	no data found	no data found	no data found	no data found			no data found	Gene deletion: full			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	no comments
PHI:2046	Uniprot	G4N4W3	Genbank	XP_369431.2	70-15	MoMSB2	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	Golden Promise			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	reduced	wild type	no data found	wild type	1,16-hexadecanediol; Cyclic Adenosine 3',5'-cyclophosphate; 3-Isobutyl-1-methylxanthine	7735-42-4; 60-92-4; 28822-58-4					Gene deletion: full			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	Defects in appressorium formation upon MoMSB2 deletion could not be restored by adding exogenous 1,16-hexadecanediol or Cyclic Adenosine 3',5'-cyclophosphate or 3-Isobutyl-1-methylxanthine.
PHI:2046	Uniprot	G4N4W3	Genbank	XP_369431.2	70-15	MoMSB2	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	no data found	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	reduced	wild type	no data found	wild type	1,16-hexadecanediol; Cyclic Adenosine 3',5'-cyclophosphate; 3-Isobutyl-1-methylxanthine	7735-42-4; 60-92-4; 28822-58-4					Gene deletion: full			RP	22144889	Pubmed	10.1371/journal.ppat.1002385	
PHI:2047			GenBank	EAA49142	70-15	MST7	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Nipponbare			seedling; leaves	no data found	no data found	no data found	MAPK pathway	Loss of pathogenicity	no data found	no data found	yes	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: partial; Gene complementation			RP	17214742	Pubmed	10.1111/j.1365-2958.2006.05548.x	no comments
PHI:2048	Uniprot	G4N4P0	Genbank	MGG_05133.6	70-15	MoCRZ1	no data found					no	318829	Magnaporthe oryzae	1271791	KJ201	Rice blast	Monocot	4530	Rice	Nakdongbyeo			seedlings; leaves	cell wall integrity	no data found	no data found	Calcium/calcineurin signaling pathway	Reduced virulence	no data found	no	yes	no	Small necrotic lesions or no lesions	reduced; aberrant	no data found	reduced	Wild type	NaCl; MnCl2; CaCl2; Congo red; Calcofluor white; SDS; Nikkomycin Z	NaCl: 7647-14-5; MnCl2:  64333-01-3; CaCl2: 10043-52-4; Calcofluor: 91-44-1; Nikkomycin Z: 59456-70-1	no data found			no data found	Gene deletion: full; Gene complementation			RP	19111943	Pubmed	10.1016/j.fgb.2008.11.010	When the mycelia of wild type and D mocrz1-2 mutant strains were treated with cell wall lys-ing enzyme, threefold more protoplasts were generated in the D mocrz1-2 mutant strain 90 min after treatment.
PHI:2049	Uniprot	G4MW47	EMBL	ABY26907.1	70-15	SSM2	Chromosome I					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	CO39			leaves	siderophore biosynthesis	no data found	no data found	no data found	Reduced virulence	no data found	no	no	no	no data found	reduced	no data found	reduced	Wild type	H2O2; KO2; FeSO4; FeCl3; ferric citrate	H2O2: 7722-84-1; Ko2: 12030-88-5; FeSO4:  7720-78-7; FeCl3:  7705-08-0; Ferric citrate: 2338-05-8	no data found			no data found	Gene deletion: full; Gene complementation			RP	19171198	Pubmed	10.1016/j.fgb.2008.12.004	a siderophore independent uptake mechanism for ferrous and ferric iron exists in M. grisea.
PHI:2050	Uniprot	G4NF43	EMBL	BK005770.1	70-15	OMO1	Chromosome IV					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	CO39			leaves	siderophore biosynthesis	no data found	no data found	no data found	Loss of pathogenicity	no data found	No data found	No data found	No data found	no data found	reduced	no data found	reduced	Wild type	H2O2; KO2; coprogen; FeSO4; FeCl3; ferric citrate; ferricrocin; ferrichrome	H2O2: 7722-84-1; Ko2: 12030-88-5; FeSO4:  7720-78-7; FeCl3:  7705-08-0; Ferric citrate: 2338-05-8; Coprogen: 31418-71-0; ferricrocin: 23086-46-6; ferrichrome: 15630-64-5	no data found			no data found	Gene deletion: full; Gene complementation			RP	19171198	Pubmed	10.1016/j.fgb.2008.12.004	a siderophore independent uptake mechanism for ferrous and ferric iron exists in M. grisea.
PHI:2049	Uniprot	G4MW47	EMBL	ABY26907.1	70-15	SSM2	Chromosome I					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	siderophore biosynthesis	no data found	no data found	no data found	Reduced virulence	no data found	no	no	no	no data found	reduced	no data found	reduced	Wild type	H2O2; KO2; FeSO4; FeCl3; ferric citrate	H2O2: 7722-84-1; Ko2: 12030-88-5; FeSO4:  7720-78-7; FeCl3:  7705-08-0; Ferric citrate: 2338-05-8	no data found			no data found	Gene deletion: full; Gene complementation			RP	19171198	Pubmed	10.1016/j.fgb.2008.12.004	a siderophore independent uptake mechanism for ferrous and ferric iron exists in M. grisea.
PHI:2050	Uniprot	G4NF43	EMBL	BK005770.1	70-15	OMO1	Chromosome IV					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves	siderophore biosynthesis	no data found	no data found	no data found	Loss of pathogenicity	no data found	No data found	No data found	No data found	no data found	reduced	no data found	reduced	Wild type	H2O2; KO2; coprogen; FeSO4; FeCl3; ferric citrate; ferricrocin; ferrichrome	H2O2: 7722-84-1; Ko2: 12030-88-5; FeSO4:  7720-78-7; FeCl3:  7705-08-0; Ferric citrate: 2338-05-8; Coprogen: 31418-71-0; ferricrocin: 23086-46-6; ferrichrome: 15630-64-5	no data found			no data found	Gene deletion: full; Gene complementation			RP	19171198	Pubmed	10.1016/j.fgb.2008.12.004	a siderophore independent uptake mechanism for ferrous and ferric iron exists in M. grisea.
PHI:2051	Uniprot	G4NGZ9	Genbank	MGG_03977.5	70-15	COS1	no data found					no	318829	Magnaporthe oryzae		Y34	Rice blast	Monocot	4530	Rice	Nipponbare			roots; leaves	Transcriptional regulator	no data found	no data found	no data found	Increased virulence (Hypervirulence)	no data found	yes	yes	no	no data found	reduced	no data found	wild type	no data found	no data found	no data found	no data found			no data found	Gene disruption; Gene complementation			RP	19271955	Pubmed	10.1094 / MPMI -22-4-0402	no comments
PHI:2051	Uniprot	G4NGZ9	Genbank	MGG_03977.5	70-15	COS1	no data found					no	318829	Magnaporthe oryzae		Y34	Rice blast	Monocot	112509	Barley	Golden Promise			roots; leaves	Transcriptional regulator	no data found	no data found	no data found	Increased virulence (Hypervirulence)	no data found	yes	yes	no	no data found	reduced	no data found	wild type	no data found	no data found	no data found	no data found			no data found	Gene disruption; Gene complementation			RP	19271955	Pubmed	10.1094 / MPMI -22-4-0402	no comments
PHI:2052	Uniprot	G4NC11	GenBank	AF250928	70-15	Cdc42	no data found					no	318829	Magnaporthe oryzae		CP987	Rice blast	Monocot	4530	Rice	Sariceltik			seedlings; leaves	actin cytoskeleton organization and cell polarity; establishment of turgor in appressoria	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	Fewer and smaller disease lesions	reduced; aberrant	no data found	Wild type; aberrant	reduced; aberrant	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19298860	Pubmed	10.1016/j.fgb.2009.03.005	no comments
PHI:2052	Uniprot	G4NC11	GenBank	AF250928	70-15	Cdc42	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Sariceltik			seedlings; leaves	actin cytoskeleton organization and cell polarity; establishment of turgor in appressoria	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	Fewer and smaller disease lesions	reduced; aberrant	no data found	Wild type; aberrant	reduced; aberrant	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19298860	Pubmed	10.1016/j.fgb.2009.03.005	no comments
PHI:2052	Uniprot	G4NC11	GenBank	AF250928	70-15	Cdc42	no data found					no	318829	Magnaporthe oryzae		CP987	Rice blast	Monocot	4530	Rice	CO39			seedlings; leaves	actin cytoskeleton organization and cell polarity; establishment of turgor in appressoria	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	Fewer and smaller disease lesions	reduced; aberrant	no data found	Wild type; aberrant	reduced; aberrant	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19298860	Pubmed	10.1016/j.fgb.2009.03.005	no comments
PHI:2052	Uniprot	G4NC11	GenBank	AF250928	70-15	Cdc42	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	CO39			seedlings; leaves	actin cytoskeleton organization and cell polarity; establishment of turgor in appressoria	no data found	no data found	no data found	Reduced virulence	no data found	yes	yes	yes	Fewer and smaller disease lesions	reduced; aberrant	no data found	Wild type; aberrant	reduced; aberrant	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19298860	Pubmed	10.1016/j.fgb.2009.03.005	no comments
PHI:2053	Uniprot	G4NF05	GenBank	AB218802	70-15	Mstu1	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	LTH			seedlings; leaves	regulation of asexual fungal development	no data found	no data found	no data found	Loss of pathogenicity	no	yes	yes 	no	no data found	reduced	wild type	reduced	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19661696	Pubmed	10.1271/bbb.90146	no comments
PHI:2053	Uniprot	G4NF05	GenBank	AB218802	70-15	Mstu1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	LTH			seedlings; leaves	regulation of asexual fungal development	no data found	no data found	no data found	Loss of pathogenicity	no	yes	yes 	no	no data found	reduced	wild type	reduced	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19661696	Pubmed	10.1271/bbb.90146	no comments
PHI:2053	Uniprot	G4NF05	GenBank	AB218802	70-15	Mstu1	no data found					no	318829	Magnaporthe oryzae		3986-R45	Rice blast	Monocot	4530	Rice	LTH			seedlings; leaves	regulation of asexual fungal development	no data found	no data found	no data found	Loss of pathogenicity	no	yes	yes 	no	no data found	reduced	wild type	reduced	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19661696	Pubmed	10.1271/bbb.90146	no comments
PHI:2054	Uniprot	G5EH19	GenBank	EF060241	70-15	Rac1	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	CO39			leaves; roots	actin cytoskeleton organization and polarized cell growth; conidiogenesis	no data found	no data found	MgRac1-Chm1 pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced; aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19008945	Pubmed	10.1371/jo urnal.ppat. 1000202	no comments
PHI:2054	Uniprot	G5EH19	GenBank	EF060241	70-15	Rac1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			leaves; roots	actin cytoskeleton organization and polarized cell growth; conidiogenesis	no data found	no data found	MgRac1-Chm1 pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced; aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19008945	Pubmed	10.1371/jo urnal.ppat. 1000202	no comments
PHI:2054	Uniprot	G5EH19	GenBank	EF060241	70-15	Rac1	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	112509	Barley	Jinchang 1316			leaves; roots	actin cytoskeleton organization and polarized cell growth; conidiogenesis	no data found	no data found	MgRac1-Chm1 pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced; aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19008945	Pubmed	10.1371/jo urnal.ppat. 1000202	no comments
PHI:2054	Uniprot	G5EH19	GenBank	EF060241	70-15	Rac1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	Jinchang 1316			leaves; roots	actin cytoskeleton organization and polarized cell growth; conidiogenesis	no data found	no data found	MgRac1-Chm1 pathway	Loss of pathogenicity	no data found	yes	yes	no data found	no data found	reduced; aberrant	no data found	reduced	reduced	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19008945	Pubmed	10.1371/jo urnal.ppat. 1000202	no comments
PHI:2055	Uniprot	Q1L5B8	GenBank	DQ028305	CgM2	PPT1	no data found					no	31870	Colletotrichum graminicola (related: Glomerella graminicola)	31870	CgM2	Maize anthracnose	Monocot	4577	Maize	Nathan			leaves	fungal pathogenicity factor	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	no	no data found	reduced; aberrant	no data found	reduced	wildtype; aberrant	bathophenanthroline-disulfonate; desferri-ferrichrome; desferri-coprogen; H2O2; rose bengal	bathophenanthroline-disulfonate: 52746-49-3; desferri-ferrichrome: 34787-28-5; desferri-coprogen: 31418-71-0; H2O2: 7722-84-1; rose bengal: 11121-48-5	no data found			no data found	Gene deletion: full; Gene complementation			RP	19880801	Pubmed	10.1105/tpc.1 08.064188	no comments
PHI:2056			Genbank	MGG_03046	70-15	PPT1	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	CO39			leaves	fungal pathogenicity factor	no data found	no data found	no data found	Loss of pathogenicity	no data found	yes	yes	no	no data found	reduced; aberrant	no data found	reduced	wildtype; aberrant	bathophenanthroline-disulfonate; desferri-ferrichrome; desferri-coprogen; H2O2; rose bengal	bathophenanthroline-disulfonate: 52746-49-3; desferri-ferrichrome: 34787-28-5; desferri-coprogen: 31418-71-0; H2O2: 7722-84-1; rose bengal: 11121-48-5	no data found			no data found	Gene deletion: full; Gene complementation			RP	19880801	Pubmed	10.1105/tpc.1 08.064188	no comments
PHI:2057	Uniprot	O93920	GenBank	AF098645	70-15	MoPLC1	no data found					no	318829	Magnaporthe oryzae		70-15	Rice blast	Monocot	4530	Rice	Nakdongbyeo			leaves; seedlings	modulator of calcium ﬂux	no data found	no data found	Calcium signalling	Loss of pathogenicity	yes	yes	yes	yes	no data found	reduced; aberrant	reduced; aberrant	reduced	reduced; aberrant	NaCl; Calcium; DAG (diacylglycerol)	no data found	no data found			no data found	Gene deletion: full; Gene complementation			RP	19400837	Pubmed	10.1111/J.1364-3703.2009.00536.X	Δmoplc1 underwent lysis under hypertonic conditions. This suggests that MoPLC1-mediated calcium signalling is also involved in cellular processes that counteract osmotic stress in M. oryzae.
PHI:2058	Uniprot	A7U5U4	GenBank	ABS87374	70-15	LHS1	no data found					no	318829	Magnaporthe oryzae	1271791	KJ201 	Rice blast	Monocot	4530	Rice	Nakdongbyeo			seedlings; leaves	Endoplasmic Reticulum Chaperone	no data found	no data found	no data found	Reduced virulence	no data found	no	yes	yes	Smaller lesions with a white center surrounded by a dark-brown circle and yellowish margins.	reduced	no data found	reduced	wildtype	Congo Red; methyl violo-gen; hydrogen peroxide; 3-amino-1,2,4 triazole; calcium chloride; sodium chloride; p -coumaric acid; SDS; MnCl2; CuSO4	Congo red: 573-58-0; methyl viologen: 1910-42-5; hydrogen peroxide: 7722-84-1; 3-amino-1,2,4 triazole: 61-82-5; calcium chloride: 10043-52-4; sodium chloride: 7681-52-9; p -coumaric acid: 501-98-4; MnCl2: 7773-01-5; CuSO4: 7758-99-7	no data found			expression of the rice defense-related genes PR1a and PBZ1 in response to Dlhs1 infection was less than that caused by infection with the wild-type KJ201 when analyzed by quantitative RT-PCR; reduced hypersensitive death	Gene deletion: full; Gene complementation			RP	19252083	Pubmed	10.1105/tpc.1 07.055988	"On CMA supplemented with Congo Red, methyl violo-gen, hydrogen peroxide, 3-amino-1,2,4 triazole, calcium chloride, sodium chloride, p -coumaric acid, and SDS, the growth rates of the mutant and the wild type were not signiﬁcantly different from those on CMA. The growth rates of the mutant and the wild type in the presence
of 10 mM MnCl 2 were similar to those of CMA. Although the growth rates of both the mutant and the wild type on
CMA supplemented with 4 mM CuSO 4 were reduced relative to those on CMA, the degree of reduction in the mutant was more severe. "
PHI:2058	Uniprot	A7U5U4	GenBank	ABS87374	70-15	LHS1	no data found					no	318829	Magnaporthe oryzae	1271791	KJ201 	Rice blast	Monocot	4530	Rice	Yashiro-mochi			seedlings; leaves	Endoplasmic Reticulum Chaperone	no data found	no data found	no data found	Reduced virulence	no data found	no	yes	yes	Smaller lesions with a white center surrounded by a dark-brown circle and yellowish margins.	reduced	no data found	reduced	wildtype	Congo Red; methyl violo-gen; hydrogen peroxide; 3-amino-1,2,4 triazole; calcium chloride; sodium chloride; p -coumaric acid; SDS; MnCl2; CuSO4	Congo red: 573-58-0; methyl viologen: 1910-42-5; hydrogen peroxide: 7722-84-1; 3-amino-1,2,4 triazole: 61-82-5; calcium chloride: 10043-52-4; sodium chloride: 7681-52-9; p -coumaric acid: 501-98-4; MnCl2: 7773-01-5; CuSO4: 7758-99-7	no data found			expression of the rice defense-related genes PR1a and PBZ1 in response to Dlhs1 infection was less than that caused by infection with the wild-type KJ201 when analyzed by quantitative RT-PCR; reduced hypersensitive death	Gene deletion: full; Gene complementation			RP	19252083	Pubmed	10.1105/tpc.1 07.055988	"On CMA supplemented with Congo Red, methyl violo-gen, hydrogen peroxide, 3-amino-1,2,4 triazole, calcium chloride, sodium chloride, p -coumaric acid, and SDS, the growth rates of the mutant and the wild type were not signiﬁcantly different from those on CMA. The growth rates of the mutant and the wild type in the presence
of 10 mM MnCl 2 were similar to those of CMA. Although the growth rates of both the mutant and the wild type on
CMA supplemented with 4 mM CuSO 4 were reduced relative to those on CMA, the degree of reduction in the mutant was more severe. "
PHI:2058	Uniprot	A7U5U4	GenBank	ABS87374	70-15	LHS1	no data found					no	318829	Magnaporthe oryzae	1271791	KJ201 	Rice blast	Monocot	4530	Rice	YT16			seedlings; leaves	Endoplasmic Reticulum Chaperone	no data found	no data found	no data found	Reduced virulence	no data found	no	yes	yes	Smaller lesions with a white center surrounded by a dark-brown circle and yellowish margins.	reduced	no data found	reduced	wildtype	Congo Red; methyl violo-gen; hydrogen peroxide; 3-amino-1,2,4 triazole; calcium chloride; sodium chloride; p -coumaric acid; SDS; MnCl2; CuSO4	Congo red: 573-58-0; methyl viologen: 1910-42-5; hydrogen peroxide: 7722-84-1; 3-amino-1,2,4 triazole: 61-82-5; calcium chloride: 10043-52-4; sodium chloride: 7681-52-9; p -coumaric acid: 501-98-4; MnCl2: 7773-01-5; CuSO4: 7758-99-7	no data found			expression of the rice defense-related genes PR1a and PBZ1 in response to Dlhs1 infection was less than that caused by infection with the wild-type KJ201 when analyzed by quantitative RT-PCR; reduced hypersensitive death	Gene deletion: full; Gene complementation			RP	19252083	Pubmed	10.1105/tpc.1 07.055988	"On CMA supplemented with Congo Red, methyl violo-gen, hydrogen peroxide, 3-amino-1,2,4 triazole, calcium chloride, sodium chloride, p -coumaric acid, and SDS, the growth rates of the mutant and the wild type were not signiﬁcantly different from those on CMA. The growth rates of the mutant and the wild type in the presence
of 10 mM MnCl 2 were similar to those of CMA. Although the growth rates of both the mutant and the wild type on
CMA supplemented with 4 mM CuSO 4 were reduced relative to those on CMA, the degree of reduction in the mutant was more severe. "
PHI:2059	Uniprot	G4N4P0	GenBank	XM_359644.1	70-15	MgCRZ1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	CO39			seedlings; leaves	Transcription Factor	no data found	no data found	calcineurin dependent signaling pathway	Reduced virulence	no data found	no data found	yes	yes	Small and isolated lesions	reduced	no data found	no data found	no data found	Ca+	calcium: 7440-70-2	no data found			no data found	Gene deletion: partial; Gene complementation			RP	19260966	Pubmed	10.1111/j.1574-6968.2009.01524.x	crz1 mutants showed a higher sensitivity to Ca (0 .2 –0. 6 M) than did  the wild-type strain. However, the mutants did not alter their responses to other stress conditions (Na ,Li ,and Mn) or to oxidative stress. These results re ve aled that MgC RZ1 is required for Ca21 stress tolerance in M. grisea
PHI:2059	Uniprot	G4N4P0	GenBank	XM_359644.1	70-15	MgCRZ1	no data found					no	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	112509	Barley	four-arris			seedlings; leaves	Transcription Factor	no data found	no data found	calcineurin dependent signaling pathway	Reduced virulence	no data found	no data found	yes	yes	Small and isolated lesions	reduced	no data found	no data found	no data found	Ca+	calcium: 7440-70-2	no data found			no data found	Gene deletion: partial; Gene complementation			RP	19260966	Pubmed	10.1111/j.1574-6968.2009.01524.x	crz1 mutants showed a higher sensitivity to Ca (0 .2 –0. 6 M) than did  the wild-type strain. However, the mutants did not alter their responses to other stress conditions (Na ,Li ,and Mn) or to oxidative stress. These results re ve aled that MgC RZ1 is required for Ca21 stress tolerance in M. grisea
PHI:2060	Uniprot	G4N5E4	EMBL	AB353135	70-15	MgLig4	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	LTH			leaves	DNA ligase; Non-homologous end-joining events	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	wild type	wild type	wild type	Camptothecin; Methyl methanesulfonate; Bleomycin; 4-nitroquinoline 1-oxidase; Hydroxyurea; Ethyl methanesulfonate; UV irradiation	Camptothecin: 7689-03-4; Methyl methanesulfonate: 66-27-3; Bleomycin: 11056-06-7; Hydroxyurea: 127-07-1; Ethyl methanesulfonate: 62-50-0	no data found			no data found	Gene deletion: full; Gene complementation			AR	18854221	Pubmed	doi:10.1016/j.fgb.2008.09.005	Mglig4 mutants were slightly more sensitive to camptothecin than Guy11. Their sensitivity to the other DNA-damaging agents (MMS, bleo-mycin, 4NQO, HU, EMS, UV irradiation) was comparable to that of the wild-type (data not shown). Re-introducing the wild-type MgLIG4 gene into mglig4 suppressed its sensitivity to camptothecin.
PHI:2060	Uniprot	G4N5E4	EMBL	AB353135	70-15	MgLig4	no data found					na	318829	Magnaporthe oryzae		Guy11	Rice blast	Monocot	4530	Rice	P2			no data found	DNA ligase; Non-homologous end-joining events	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Camptothecin; Methyl methanesulfonate; Bleomycin; 4-nitroquinoline 1-oxidase; Hydroxyurea; Ethyl methanesulfonate; UV irradiation	Camptothecin: 7689-03-4; Methyl methanesulfonate: 66-27-3; Bleomycin: 11056-06-7; Hydroxyurea: 127-07-1; Ethyl methanesulfonate: 62-50-0	no data found			no data found	Gene deletion: full; Gene complementation			AR	18854221	Pubmed	doi:10.1016/j.fgb.2008.09.005	Mglig4 mutants were slightly more sensitive to camptothecin than Guy11. Their sensitivity to the other DNA-damaging agents (MMS, bleo-mycin, 4NQO, HU, EMS, UV irradiation) was comparable to that of the wild-type (data not shown). Re-introducing the wild-type MgLIG4 gene into mglig4 suppressed its sensitivity to camptothecin.
